Sex;Age;Periodo;Total
Both genders;32 years old;2012;6.996
Both genders;32 years old;2011;8.795
Both genders;32 years old;2010;8.447
Both genders;32 years old;2009;9.286
Both genders;32 years old;2008;15.194
Both genders;33 years old;2021;11.508
Both genders;33 years old;2020;10.946
Both genders;33 years old;2019;17.481
Both genders;33 years old;2018;14.688
Both genders;33 years old;2017;11.805
Both genders;33 years old;2016;9.089
Both genders;33 years old;2015;7.481
Both genders;33 years old;2014;6.606
Both genders;33 years old;2013;5.981
Both genders;33 years old;2012;6.446
Both genders;33 years old;2011;8.261
Both genders;33 years old;2010;7.883
Both genders;33 years old;2009;8.686
Both genders;33 years old;2008;14.252
Both genders;34 years old;2021;10.917
Both genders;34 years old;2020;10.263
Both genders;34 years old;2019;16.582
Both genders;34 years old;2018;13.931
Both genders;34 years old;2017;11.091
Both genders;34 years old;2016;8.699
Both genders;34 years old;2015;7.176
Both genders;34 years old;2014;6.244
Both genders;34 years old;2013;5.463
Both genders;34 years old;2012;6.067
Both genders;34 years old;2011;7.694
Both genders;34 years old;2010;7.491
Both genders;34 years old;2009;8.093
Both genders;34 years old;2008;12.940
Both genders;35 years old;2021;10.369
Both genders;35 years old;2020;9.703
Both genders;35 years old;2019;15.659
Both genders;35 years old;2018;13.117
Both genders;35 years old;2017;10.690
Both genders;35 years old;2016;8.131
Both genders;35 years old;2015;6.649
Both genders;35 years old;2014;5.752
Both genders;35 years old;2013;5.335
Both genders;35 years old;2012;5.735
Both genders;35 years old;2011;7.047
Both genders;35 years old;2010;7.045
Both genders;35 years old;2009;7.429
Both genders;35 years old;2008;12.189
Both genders;36 years old;2021;9.692
Both genders;36 years old;2020;9.258
Both genders;36 years old;2019;14.650
Both genders;36 years old;2018;12.608
Both genders;36 years old;2017;10.045
Both genders;36 years old;2016;8.009
Both genders;36 years old;2015;6.402
Both genders;36 years old;2014;5.499
Both genders;36 years old;2013;5.054
Both genders;36 years old;2012;5.292
Both genders;36 years old;2011;6.623
Both genders;36 years old;2010;6.363
Both genders;36 years old;2009;7.053
Both genders;36 years old;2008;11.445
Both genders;37 years old;2021;9.312
Both genders;37 years old;2020;8.859
Both genders;37 years old;2019;14.180
Both genders;37 years old;2018;12.079
Both genders;37 years old;2017;9.647
Both genders;37 years old;2016;7.233
Both genders;37 years old;2015;6.176
Both genders;37 years old;2014;5.261
Both genders;37 years old;2013;4.655
Both genders;37 years old;2012;5.015
Both genders;37 years old;2011;6.300
Both genders;37 years old;2010;6.116
Both genders;37 years old;2009;6.669
Both genders;37 years old;2008;10.877
Both genders;38 years old;2021;8.805
Both genders;38 years old;2020;8.326
Both genders;38 years old;2019;13.408
Both genders;38 years old;2018;11.332
Both genders;38 years old;2017;9.016
Both genders;38 years old;2016;6.978
Both genders;38 years old;2015;5.780
Both genders;38 years old;2014;4.924
Both genders;38 years old;2013;4.466
Both genders;38 years old;2012;4.758
Both genders;38 years old;2011;5.871
Both genders;38 years old;2010;5.694
Both genders;38 years old;2009;6.081
Both genders;38 years old;2008;10.124
Both genders;39 years old;2021;8.462
Both genders;39 years old;2020;7.895
Both genders;39 years old;2019;12.868
Both genders;39 years old;2018;10.749
Both genders;39 years old;2017;8.415
Both genders;39 years old;2016;6.612
