Sex;Age;Periodo;Total
Both genders;50 years old;2020;3.436
Both genders;50 years old;2019;3.980
Both genders;50 years old;2018;4.400
Both genders;50 years old;2017;4.849
Both genders;50 years old;2016;3.914
Both genders;50 years old;2015;4.073
Both genders;50 years old;2014;4.739
Both genders;50 years old;2013;6.002
Both genders;50 years old;2012;4.689
Both genders;50 years old;2011;4.180
Both genders;50 years old;2010;4.234
Both genders;50 years old;2009;3.870
Both genders;50 years old;2008;2.883
Both genders;51 years old;2021;5.229
Both genders;51 years old;2020;3.273
Both genders;51 years old;2019;3.843
Both genders;51 years old;2018;3.953
Both genders;51 years old;2017;4.527
Both genders;51 years old;2016;3.723
Both genders;51 years old;2015;3.803
Both genders;51 years old;2014;4.152
Both genders;51 years old;2013;5.216
Both genders;51 years old;2012;4.477
Both genders;51 years old;2011;4.048
Both genders;51 years old;2010;3.797
Both genders;51 years old;2009;3.467
Both genders;51 years old;2008;2.646
Both genders;52 years old;2021;4.979
Both genders;52 years old;2020;3.143
Both genders;52 years old;2019;3.381
Both genders;52 years old;2018;3.763
Both genders;52 years old;2017;4.431
Both genders;52 years old;2016;3.505
Both genders;52 years old;2015;3.465
Both genders;52 years old;2014;4.047
Both genders;52 years old;2013;4.826
Both genders;52 years old;2012;4.103
Both genders;52 years old;2011;3.585
Both genders;52 years old;2010;3.576
Both genders;52 years old;2009;3.312
Both genders;52 years old;2008;2.572
Both genders;53 years old;2021;4.726
Both genders;53 years old;2020;2.862
Both genders;53 years old;2019;3.342
Both genders;53 years old;2018;3.600
Both genders;53 years old;2017;4.147
Both genders;53 years old;2016;3.362
Both genders;53 years old;2015;3.325
Both genders;53 years old;2014;3.836
Both genders;53 years old;2013;4.983
Both genders;53 years old;2012;3.876
Both genders;53 years old;2011;3.352
Both genders;53 years old;2010;3.335
Both genders;53 years old;2009;3.041
Both genders;53 years old;2008;2.289
Both genders;54 years old;2021;4.281
Both genders;54 years old;2020;2.674
Both genders;54 years old;2019;3.116
Both genders;54 years old;2018;3.489
Both genders;54 years old;2017;3.916
Both genders;54 years old;2016;3.192
Both genders;54 years old;2015;2.996
Both genders;54 years old;2014;3.508
Both genders;54 years old;2013;4.514
Both genders;54 years old;2012;3.527
Both genders;54 years old;2011;3.118
Both genders;54 years old;2010;3.156
Both genders;54 years old;2009;2.764
Both genders;54 years old;2008;2.084
Both genders;55 years old;2021;3.947
Both genders;55 years old;2020;2.575
Both genders;55 years old;2019;2.918
Both genders;55 years old;2018;3.160
Both genders;55 years old;2017;3.786
Both genders;55 years old;2016;2.948
Both genders;55 years old;2015;2.928
Both genders;55 years old;2014;3.459
Both genders;55 years old;2013;4.119
Both genders;55 years old;2012;3.395
Both genders;55 years old;2011;3.030
Both genders;55 years old;2010;2.840
Both genders;55 years old;2009;2.580
Both genders;55 years old;2008;1.990
Both genders;56 years old;2021;3.898
Both genders;56 years old;2020;2.427
Both genders;56 years old;2019;2.765
Both genders;56 years old;2018;2.962
Both genders;56 years old;2017;3.442
Both genders;56 years old;2016;2.776
Both genders;56 years old;2015;2.803
Both genders;56 years old;2014;3.380
Both genders;56 years old;2013;3.706
Both genders;56 years old;2012;3.208
Both genders;56 years old;2011;2.637
Both genders;56 years old;2010;2.642
Both genders;56 years old;2009;2.446
Both genders;56 years old;2008;1.828
Both genders;57 years old;2021;3.656
Both genders;57 years old;2020;2.354
Both genders;57 years old;2019;2.613
Both genders;57 years old;2018;2.838
Both genders;57 years old;2017;3.437
Both genders;57 years old;2016;2.608
Both genders;57 years old;2015;2.570
Both genders;57 years old;2014;2.827
Both genders;57 years old;2013;3.495
Both genders;57 years old;2012;2.833
